Close,High,Low,Open,Volume
389.8299865722656,389.8500061035156,365.8299865722656,375.3500061035156,3739700000
371.1600036621094,389.80999755859375,367.9800109863281,389.80999755859375,3258730000
387.80999755859375,387.80999755859375,370.9200134277344,371.17999267578125,3481570000
395.42999267578125,396.82000732421875,374.0899963378906,387.80999755859375,3713820000
387.8599853515625,397.6199951171875,382.7699890136719,395.42999267578125,3260990000
392.45001220703125,393.80999755859375,376.1099853515625,387.8599853515625,4082380000
375.2200012207031,398.2200012207031,371.6300048828125,392.4599914550781,3737620000
417.0899963378906,418.32000732421875,371.3599853515625,375.1099853515625,4155310000
408.7799987792969,421.17999267578125,408.6400146484375,417.0299987792969,5286280000
412.70001220703125,418.0799865722656,406.3399963378906,408.7900085449219,4267610000
403.69000244140625,413.7799987792969,401.94000244140625,412.67999267578125,4066240000
